product_master_id,artist_id,artist_name,product_id,product_name,version_id,version_name,member_id,member_name,card_type,card_detail,release_date,visual_features,front_image_url,back_image_url
PM00084,A000000,SEVENTEEN,P_KR003,GOING SEVENTEEN,V_KR003_03,make a seventeen,A000006,WONWOO,photocard,photocard,2016/10/03,,,
PM00085,A000000,SEVENTEEN,P_KR003,GOING SEVENTEEN,V_KR003_03,make a seventeen,A000007,WOOZI,photocard,photocard,2016/10/03,,,
PM00086,A000000,SEVENTEEN,P_KR003,GOING SEVENTEEN,V_KR003_03,make a seventeen,A000008,THE 8,photocard,photocard,2016/10/03,,,
PM00087,A000000,SEVENTEEN,P_KR003,GOING SEVENTEEN,V_KR003_03,make a seventeen,A000009,MINGYU,photocard,photocard,2016/10/03,,,
PM00088,A000000,SEVENTEEN,P_KR003,GOING SEVENTEEN,V_KR003_03,make a seventeen,A000010,DK,photocard,photocard,2016/10/03,,,
PM00089,A000000,SEVENTEEN,P_KR003,GOING SEVENTEEN,V_KR003_03,make a seventeen,A000011,SEUNGKWAN,photocard,photocard,2016/10/03,,,
PM00090,A000000,SEVENTEEN,P_KR003,GOING SEVENTEEN,V_KR003_03,make a seventeen,A000012,VERNON,photocard,photocard,2016/10/03,,,
PM00091,A000000,SEVENTEEN,P_KR003,GOING SEVENTEEN,V_KR003_03,make a seventeen,A000013,DINO,photocard,photocard,2016/10/03,,,
PM00092,A000000,SEVENTEEN,P_KR004,AL1,V_KR004_01,regular,A000001,S.COUPS,photocard,photocard 1,2017/02/07,,,
PM00093,A000000,SEVENTEEN,P_KR004,AL1,V_KR004_01,regular,A000001,S.COUPS,photocard,photocard 2,2017/02/07,,,
PM00094,A000000,SEVENTEEN,P_KR004,AL1,V_KR004_01,regular,A000001,S.COUPS,photocard,photocard 3,2017/02/07,,,
PM00095,A000000,SEVENTEEN,P_KR004,AL1,V_KR004_01,regular,A000002,JEONGHAN,photocard,photocard 1,2017/02/07,,,
PM00096,A000000,SEVENTEEN,P_KR004,AL1,V_KR004_01,regular,A000002,JEONGHAN,photocard,photocard 2,2017/02/07,,,
PM00097,A000000,SEVENTEEN,P_KR004,AL1,V_KR004_01,regular,A000002,JEONGHAN,photocard,photocard 3,2017/02/07,,,
